date,id,mtd
202404,iEQDGLSFUN,-0.0057
202405,iEQDGLSFUN,0.0178
202406,iEQDGLSFUN,0.0063
202407,iEQDGLSFUN,0.0072
202408,iEQDGLSFUN,0.0122
202409,iEQDGLSFUN,0.0197
202410,iEQDGLSFUN,-0.0023
202411,iEQDGLSFUN,0.0195
202412,iEQDGLSFUN,-0.0111
202501,iEQDGLSFUN,0.0283
202502,iEQDGLSFUN,-0.0114
202503,iEQDGLSFUN,-0.0222
202504,iEQDGLSFUN,0.0172
202505,iEQDGLSFUN,0.0442
202506,iEQDGLSFUN,0.037
202507,iEQDGLSFUN,0.0101
202508,iEQDGLSFUN,0.0234
202509,iEQDGLSFUN,0.0296
202510,iEQDGLSFUN,0.0079
202511,iEQDGLSFUN,0.0072
202512,iEQDGLSFUN,0.0164
202601,iEQDGLSFUN,0.0293
202602,iEQDGLSFUN,0.0164
202603,iEQDGLSFUN,-0.0561
202604,iEQDGLSFUN,0.0729
200301,iEQDGLSQNT,0.0198
200302,iEQDGLSQNT,0.0075
200303,iEQDGLSQNT,0.0088
200304,iEQDGLSQNT,-0.0112
200305,iEQDGLSQNT,-0.0059
200306,iEQDGLSQNT,0.0001
200307,iEQDGLSQNT,-0.0136
200308,iEQDGLSQNT,-0.003
200309,iEQDGLSQNT,0.0123
200310,iEQDGLSQNT,0.0094
200311,iEQDGLSQNT,0.0071
200312,iEQDGLSQNT,0.006
200401,iEQDGLSQNT,0.0134
200402,iEQDGLSQNT,-0.0021
200403,iEQDGLSQNT,0.0142
200404,iEQDGLSQNT,0.0027
200405,iEQDGLSQNT,0.0001
200406,iEQDGLSQNT,0.0091
200407,iEQDGLSQNT,0.0136
200408,iEQDGLSQNT,0.0025
200409,iEQDGLSQNT,-0.0008
200410,iEQDGLSQNT,0.0021
200411,iEQDGLSQNT,0.0007
200412,iEQDGLSQNT,-0.0023
200501,iEQDGLSQNT,0.0126
200502,iEQDGLSQNT,0.0164
200503,iEQDGLSQNT,0.0042
200504,iEQDGLSQNT,-0.0012
200505,iEQDGLSQNT,0.0056
200506,iEQDGLSQNT,0.0063
200507,iEQDGLSQNT,0.0108
200508,iEQDGLSQNT,0.0075
200509,iEQDGLSQNT,0.0134
200510,iEQDGLSQNT,0.0088
200511,iEQDGLSQNT,0.0062
200512,iEQDGLSQNT,-0.0035
200601,iEQDGLSQNT,0.0204
200602,iEQDGLSQNT,0.0016
200603,iEQDGLSQNT,0.0005
